date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:02	127241/127241	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202024%2013:21:02%20GMT	https://alison.com/certification/check/14e29a592a	C:/Users/isaac/OneDrive/Documents/alison/alison.com/certification/check/14e29a592a.html	(from )
16:21:03	373/373	---M-Z	200	added ('OK')	text/plain	etag:%223ad-6259c576ab200-gzip%22	https://alison.com/robots.txt		(from )
16:21:06	89706/89706	---M-Z	200	added ('OK')	application/javascript	etag:%2215e6a-624f9706e5700-gzip%22	https://alison.com/html/vendor/js/jquery-3.6.4.min.js	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/vendor/js/jquery-3.6.4.min.js	(from https://alison.com/certification/check/14e29a592a)
16:21:07	40072/40072	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/js/slick.js	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/vendor/js/slick.js	(from https://alison.com/certification/check/14e29a592a)
16:21:07	16199/16199	---M-Z	200	added ('OK')	application/javascript	etag:%223f47-6238cd8ebf580-gzip%22	https://alison.com/html/vendor/js/handlebars.runtime-v4.4.3.js	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/vendor/js/handlebars.runtime-v4.4.3.js	(from https://alison.com/certification/check/14e29a592a)
16:21:07	40185/40185	---M-Z	200	added ('OK')	application/javascript	etag:%229cf9-622891052f500-gzip%22	https://alison.com/html/vendor/js/jquery.mCustomScrollbar-alt.min.js	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/vendor/js/jquery.mCustomScrollbar-alt.min.js	(from https://alison.com/certification/check/14e29a592a)
16:21:07	184572/184572	---MCZ	200	added ('OK')	text/css	etag:W/%222d272-624a7456a59c0-gzip%22	https://alison.com/html/site/css/main.css?id=1e5dae5fa066d85fd97c191f8c6cdd88	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/site/css/main3ead.css	(from https://alison.com/certification/check/14e29a592a)
16:21:09	13177/13177	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20May%202024%2015:57:57%20GMT	https://cdn01.alison-static.net/courses/4338/alison_courseware_intro_4338.jpg	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/courses/4338/alison_courseware_intro_4338.jpg	(from https://alison.com/certification/check/14e29a592a)
16:23:15	36552/36552	---M--	200	added ('OK')	text/javascript	date:Thu,%2025%20Apr%202019%2017:56:33%20GMT	https://www.gstatic.com/firebasejs/5.10.1/firebase-app.js	C:/Users/isaac/OneDrive/Documents/alison/www.gstatic.com/firebasejs/5.10.1/firebase-app.js	(from https://alison.com/certification/check/14e29a592a)
16:23:15	32711/32711	---M--	200	added ('OK')	text/javascript	date:Thu,%2025%20Apr%202019%2017:56:32%20GMT	https://www.gstatic.com/firebasejs/5.10.1/firebase-messaging.js	C:/Users/isaac/OneDrive/Documents/alison/www.gstatic.com/firebasejs/5.10.1/firebase-messaging.js	(from https://alison.com/certification/check/14e29a592a)
16:23:15	7889/7889	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/js/lazysizes.min.js?v=2.1	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/vendor/js/lazysizes.minf195.js	(from https://alison.com/certification/check/14e29a592a)
16:23:27	107364/107364	---M--	200	added ('OK')	text/javascript	etag:35%20/%2020026%20/%20m202410240101%20/%20config-hash:%2016670176213832180251	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Users/isaac/OneDrive/Documents/alison/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://alison.com/certification/check/14e29a592a)
16:23:27	191464/191464	---M--	200	added ('OK')	text/javascript	etag:5205762850597422895	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/isaac/OneDrive/Documents/alison/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://alison.com/certification/check/14e29a592a)
16:23:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Oct%202024%2013:23:17%20GMT	https://alison.com/html/vendor/img/favicon/favicon-16x16.png	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/vendor/img/favicon/favicon-16x16.d.delayed	(from https://alison.com/certification/check/14e29a592a)
16:23:28	543/543	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-16x16.png	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-16x16.png	(from https://alison.com/certification/check/14e29a592a)
16:23:28	1611/1611	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/apple-touch-icon.png	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/vendor/img/favicon/apple-touch-icon.png	(from https://alison.com/certification/check/14e29a592a)
16:23:28	920/920	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Aug%202022%2012:09:00%20GMT	https://cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-32x32.png	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/vendor/img/favicon/favicon-32x32.png	(from https://alison.com/certification/check/14e29a592a)
16:23:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Oct%202024%2013:23:29%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/isaac/OneDrive/Documents/alison/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.12.delayed	(from https://alison.com/certification/check/14e29a592a)
16:23:29	6097/6097	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e83fcf-17d1%22	https://web-sdk.smartlook.com/recorder.js	C:/Users/isaac/OneDrive/Documents/alison/web-sdk.smartlook.com/recorder.js	(from https://alison.com/certification/check/14e29a592a)
16:23:29	23675/23675	---M-Z	200	added ('OK')	application/x-javascript	etag:%227d4644d89e45fe92623bdd628e60e8dd%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/isaac/OneDrive/Documents/alison/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://alison.com/certification/check/14e29a592a)
16:23:29	14959/14959	---MCZ	200	added ('OK')	text/css	etag:W/%223a70-6246c6727e680-gzip%22	https://alison.com/html/site/css/iconfont.css	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/site/css/iconfont.css	(from https://alison.com/certification/check/14e29a592a)
16:23:30	71150/71150	---MCZ	200	added ('OK')	text/css	etag:W/%221160d-6246c6727e680-gzip%22	https://alison.com/html/site/css/two-column-template.css	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/site/css/two-column-template.css	(from https://alison.com/certification/check/14e29a592a)
16:23:30	13044/13044	---MCZ	200	added ('OK')	text/css	etag:W/%2232fa-6224fe01cab80-gzip%22	https://alison.com/html/site/css/cert-check.css	C:/Users/isaac/OneDrive/Documents/alison/alison.com/html/site/css/cert-check.css	(from https://alison.com/certification/check/14e29a592a)
16:23:30	2305/2305	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Oct%202024%2009:40:12%20GMT	https://cdn01.alison-static.net/public/html/site/img/footer--alison-logo.png	C:/Users/isaac/OneDrive/Documents/alison/cdn01.alison-static.net/public/html/site/img/footer--alison-logo.png	(from https://alison.com/certification/check/14e29a592a)
